"sample","Axis1","Axis2","Axis3","Axis4","Axis5"
"N2",-7.80329192131717,-2.39896044113784,-2.85323961919673,-2.22950938493079,2.31522921806675
"N5",-9.97702050750097,-10.9317167399012,-8.73637159518588,-8.01665765395591,5.47326849664496
"N6",-6.77604956900746,-0.0889864389117802,-2.86349659977711,-0.317082790897514,-1.46806271664174
"N7",-6.64502052110741,3.60631891450962,0.182174886841671,-0.679298851775007,-0.607234533450131
"N8",-7.86575085663622,1.22974740723334,-0.700381145275234,0.942339155710889,-4.20855201016343
"N9",-8.5483156394076,0.78755515623597,-1.6115639628573,-0.00524141264336392,-2.77375310078121
"N10",-9.60769240414825,1.2028841147676,0.590728206617496,1.72189082570195,-5.25377928245497
"N11",-8.14303701205395,2.33346645196356,0.622623017172203,1.67991349482117,-2.30779602897441
"N12",-5.32607995705319,3.89789391817361,1.22954548047782,0.558013535727425,-1.51605354763975
"M1",0.607206872949125,4.06322207449865,1.76966658805648,1.87588275421325,6.15363951443848
"M13",6.76870719470212,1.62925555043366,-2.50373035758086,-1.28583724660695,-2.14030486609899
"M3",6.51394519494551,2.57725054908287,-3.75030109769841,-1.50492591732068,-1.24481459424004
"M4",5.17389333566734,-1.68838456917013,-1.49672429785178,-0.490558734824148,1.65692096224822
"M5",6.65700412793968,-0.120560953784766,-1.1722197959559,-0.627033201425626,0.0570903437408721
"M6",-2.85851364556205,6.18880687774405,4.25320457263102,1.96798130413818,5.34233827314206
"M7",2.38955495894048,-4.85311626471465,5.43220817180646,2.3825379709234,3.9621060658609
"M8",-3.692253285813,6.02759922292825,3.5235514049506,2.84880785902444,2.89855740267421
"M10",4.73516437012474,1.82306314385968,-4.290807406331,0.79111645759857,0.269179379517261
"M11",1.84096387669942,-4.88022691280773,10.0320343411614,-8.6100675380585,-2.15503026684715
"DH1",-2.61705561693172,4.34914123938704,3.57694244196352,0.672709965025718,2.22835072628844
"DH2",6.14397923045688,1.00382227873117,-2.53914293186117,0.625123283646098,-1.9156738259773
"DH3",2.03621935283702,0.314359359260581,4.20570340863953,-0.695010727280879,1.42664323962345
"DH4",5.76229994522288,0.0840804801909266,-1.92796032856302,1.65044662248108,-1.5766343715335
"DH5",4.19267857442121,1.54812374467299,-2.85822681996601,-0.11337953189989,-0.808772387251667
"DH6",4.35302508879837,-3.08522580232712,10.0969669631994,-5.8802413388044,-2.5931837129918
"DH7",-0.210105621968518,-17.3328084119228,2.70929594225301,10.6861963035529,-1.04195318543935
"DH8",1.35174291359247,2.83776055355178,0.79612784616253,1.45935146114058,0.761182659281449
"DH9",7.40554564879908,-1.0235405105673,-3.01850011839393,0.411210060300404,-0.871805770887289
"DH10",3.44166691270744,2.50031362237851,-3.06437523945964,0.559787947062548,0.342131245817764
"DH11",6.72071019912011,1.21726303320866,-3.4228296916583,-1.5091900889507,-0.826234778617953
"DH12",3.97587876058365,-2.81840064756716,-2.21090226432086,1.13072541830577,0.423001452645937
